username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
InStyle,14934818,2017-05-24 05:32:54,5 physical signs you're way too stressed and need to take a breather https://t.co/D9yVxdufcL,22,None,4542732,2759,0.0,0.14285714285714285
Khary,30208903,2017-05-24 17:19:34,Stressed by simple tasks too often haha.,12,None,7334,187,0.1,0.32857142857142857
Mama Dragun,412221236,2017-05-21 20:06:12,"I'm too grateful to be hateful. 
I'm too blessed to be stressed.",1020,None,83141,88,0.0,0.0
Wesley Stromberg,196955859,2017-05-21 22:00:54,Too blessed to be stressed,242,None,732868,34959,0.0,0.0
Cameron Boucher,64666168,2017-05-21 01:16:00,i mean id be hella stressed if i had to log onto my insta via a 2008 blackberry too https://t.co/y6XwtrQyPR,138,None,10991,905,-0.3125,0.6875
Health,15566901,2017-05-21 06:38:33,Here's what to do if you're too stressed to sleep https://t.co/gJ4W14RK36,14,None,3407466,1398,0.0,0.0
Andrew Nusca,16296057,2017-05-19 23:20:49,"Study: Your local journalist likely drinks too much, works out too little, can't think straight, and is stressed af https://t.co/RnWJ3e7vxY",17,None,15934,4230,0.0425,0.42000000000000004
