"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"836","RT @hyyhsus: we ain't seen minrapgod for so long I'm stressed what if he don't got black hair anymore https://t.co/UyagKPDc5Z",FALSE,0,NA,2017-06-05 05:56:17,FALSE,NA,"871606583062671360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","btshyngline",4,TRUE,FALSE,NA,NA,"hr; rcnn","en","http://pbs.twimg.com/profile_images/871606118576922625/rQGlS00J_normal.jpg"
"837","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:56:17,FALSE,NA,"871606580109824000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tobiwan_kanobi",20894,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/856289342809100289/x918kIpT_normal.jpg"
"838","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:56:15,FALSE,NA,"871606575370260480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HolfordEden",20894,TRUE,FALSE,NA,NA,"gloucester","en-gb","http://pbs.twimg.com/profile_images/856958586706153472/KIOvzu8w_normal.jpg"
"839","RT @vantablvck: i'm too young to be this stressed",FALSE,0,NA,2017-06-05 05:56:14,FALSE,NA,"871606567962943489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NurullNajeehah",10993,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/870666027494907904/3cjfdXRA_normal.jpg"
"840","RT @ku5unag1: Food has always been there for me when school stressed me out. So it was only appropriate to take my senior pics at McDonalds…",FALSE,0,NA,2017-06-05 05:56:06,FALSE,NA,"871606536946106368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MirianAlvarezz",58,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/844042744263663616/DnvvS5wF_normal.jpg"
"841","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:56:03,FALSE,NA,"871606524031795202",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","khadejahmarie",20894,TRUE,FALSE,NA,NA,"somewhere eating good","en","http://pbs.twimg.com/profile_images/865811428602728449/IEcHghD6_normal.jpg"
"842","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:56:02,FALSE,NA,"871606517912526849",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thatred_mf",20894,TRUE,FALSE,NA,NA,"843","en","http://pbs.twimg.com/profile_images/869022540248883202/2hXRA-pr_normal.jpg"
"843","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:56:01,FALSE,NA,"871606516717166592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a_lashayyyy",20894,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/870165963911647232/app5gdxU_normal.jpg"
"844","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:55:59,FALSE,NA,"871606508219502592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_manidee",20894,TRUE,FALSE,NA,NA,"Houston to Alva, OK","en","http://pbs.twimg.com/profile_images/859508320314548224/4z5kLRXB_normal.jpg"
"845","RT @joeerl: muslang2 (a language for describing music)
first prototype working with virtual orchestra -  will demo with @samaaron next frid…",FALSE,0,NA,2017-06-05 05:55:54,FALSE,NA,"871606484177756160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Stressed_Local",16,TRUE,FALSE,NA,NA,"Wrong place, Wrong time...","en","http://pbs.twimg.com/profile_images/113444704/jetpack_normal.jpg"
"846","Too stressed for today.

Today or two days?<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>",FALSE,0,NA,2017-06-05 05:55:48,FALSE,NA,"871606461809348609",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iMeMineSyams",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/856124033066164224/cwLGd87W_normal.jpg"
"847","RT @vantablvck: i'm too young to be this stressed",FALSE,0,NA,2017-06-05 05:55:48,FALSE,NA,"871606459435372544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nolimit_1Ky",10993,TRUE,FALSE,NA,NA,"Cedar Hill, TX","en","http://pbs.twimg.com/profile_images/849320714796756992/PegOI4ld_normal.jpg"
"848","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:55:43,FALSE,NA,"871606437994262530",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kamaziaaaa",20894,TRUE,FALSE,NA,NA,"Minding my own business<ed><U+00A0><U+00BD><ed><U+00B2><U+0081><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>","en","http://pbs.twimg.com/profile_images/866201893378416640/SxVxE7FN_normal.jpg"
"849","i'm also in a rush this morning but..... now i have to wait around so i'm Stressed",FALSE,0,NA,2017-06-05 05:55:40,FALSE,NA,"871606428796162048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aiboukuriboh",0,FALSE,FALSE,NA,NA,"<U+2661> yuu <U+2661> they/them <U+2661>","en-gb","http://pbs.twimg.com/profile_images/869229114158460928/LrUhMWpw_normal.jpg"
"850","RT @femme_mawon: I'm probably more stressed out than I like to discuss",FALSE,0,NA,2017-06-05 05:55:39,FALSE,NA,"871606422328545284",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","XXX_Pinkk",1,TRUE,FALSE,NA,NA,"North Miami, FL","en","http://pbs.twimg.com/profile_images/871608204257615875/KA66ol9C_normal.jpg"
"851","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:55:35,FALSE,NA,"871606405454745600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Killahveli",20894,TRUE,FALSE,NA,NA," houston","en","http://pbs.twimg.com/profile_images/869045309703409664/l3a4tFOM_normal.jpg"
"852","RT @vantablvck: i'm too young to be this stressed",FALSE,0,NA,2017-06-05 05:55:34,FALSE,NA,"871606403412017152",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Jaylon_Mims",10993,TRUE,FALSE,NA,NA,"Orange, TX","en","http://pbs.twimg.com/profile_images/866434127091965953/Yu0B-JXl_normal.jpg"
"853","I want to be impressed not stressed.",FALSE,0,NA,2017-06-05 05:55:30,FALSE,NA,"871606386492186624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dapeculiar",0,FALSE,FALSE,NA,NA,"Republic of the Philippines","en","http://pbs.twimg.com/profile_images/871232058000945152/lB-pjf7__normal.jpg"
