username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Bob Herman,2527835190,5/22/2017 21:39,"HHS released its 2018 budget then took it down? Don't worry, gang. I saved a PDF in time. Enjoy: https://t.co/10qAglWCOm",116,None,6491,1771,0.122222222,0.394444444
Mark Sleboda,1813434864,5/23/2017 7:26,"It's ok people. Don't worry - its probably just ""moderate rebels"" against the British regime... https://t.co/mLjICYZlM4",19,None,11124,2605,0.166666667,0.4
Joel Osteen,20545055,5/17/2017 11:01,"Worry, offense, trouble may be happening on the outside, but don't let it inside. Guard your place of peace.",4847,None,5162800,167,-0.1,0.125
Mat Zo,1103170992,5/23/2017 3:55,"Don't worry, if I ever lie to you I'll be honest about it",24,None,71680,818,0.6,0.9
Justin Stangel,96444937,5/23/2017 2:47,"Hey @David_Leavitt, you deleted your tweet but don't worry. I got it!!!! https://t.co/KMaH4AUNWa",27,None,69273,861,0,0
Natalie Maines,246837516,5/17/2017 3:56,"Don't worry @realDonaldTrump .Your impeachment will be the best,the greatest,and have the biggliest ratings of any other impeachment. #yuge",1641,yuge,173558,127,-0.125,0.375
Alexandra Daddario,87318558,5/16/2017 4:51,Don't worry Australia! Summer is coming to heat you up!! Can't wait to see you all with PYT @zacefron for our Aussi... https://t.co/EoXy4hoPDQ,469,None,604711,427,0,0
John Niven,299530170,5/17/2017 8:15,Are you a tight-fisted sniveling Tory loser on 40k a year whining about 50% top rate? Don't worry: you won't be paying it. I will. Happily.,260,None,54041,1532,0.65,0.75
Rashawn Copeland,353289134,5/16/2017 13:59,"Don't worry about anything; instead, pray about everything. 

- Philippians 4:6

Tell God what you need, &amp; thank him for all he has done.",1005,None,231181,226802,0,0
ANDREW W.K.,42744294,5/16/2017 15:30,PARTY TIP: Don't feel overwhelmed. And don't worry. You're doing fine and you'll get it all done.,381,None,332593,78149,0.416666667,0.5
The Bachelorette,288309667,5/17/2017 1:50,"Rachel knows how to leave us crying for more. Don't worry, #TheBachelorette premieres Monday at 9|8c on ABC! https://t.co/GFc8Q6hc6Y",525,TheBachelorette,522989,268,0.2125,0.55
Jme,14689295,5/17/2017 7:40,"Thanks everyone for having my back, but stop now don't worry, I'm not a celebrity, I haven't got a pop career to smear, or a boss to sack me",256,None,703849,0,0.1,0.1
CashNasty,1596661453,5/16/2017 2:38,Good series Wizards..put up a good fight..Gortat was the reason y'all lost..don't worry LBJ will finish the Celtics off ,441,None,506117,1274,0.7,0.6
#Voteland 5 x Daily,19607400,5/17/2017 4:42,"Don't worry, Peter. The A's are buying you a new phone.  https://t.co/X70DkqqVGb",279,None,461250,387,0.136363636,0.454545455
NHL,50004938,5/16/2017 11:35,"Don't worry, Phil's happy. #StanleyCup https://t.co/NNlMnm5XLp",193,StanleyCup,5707230,1587,0.8,1
Holly O'Reilly,755835576,5/16/2017 2:01,"@realDonaldTrump Don't worry, Trump.
We found some handcuffs that will fit your tiny hands.
#TrumpRussia... https://t.co/V1hfV3TKkI",449,TrumpRussia,69295,6083,0.2,0.45
Mashable,972651,5/17/2017 3:26,Don't worry about neglecting this plant... it will feed itself https://t.co/ofzoafrt87,211,None,8835614,2838,0,0
Louise Mensch,19346439,5/16/2017 4:05,Don't you worry about that one. https://t.co/utkETk42Qo,452,None,282320,16037,0,0
Rob Tannenbaum,97599082,5/16/2017 23:44,"Don't worry, it's part of 45's plan to defeat ISIS by weakening our intelligence in the Middle East. https://t.co/lbw205LGa0",146,None,9492,603,0,0
Sushil Kumar Modi,295251095,5/16/2017 11:20,"We knew he will go hiding behind Social justice,vendetta,backward,poor.But don't worry all these are now with BJP.",84,None,548606,73,-0.183333333,0.383333333
Nat Geo Channel,18244358,5/16/2017 2:00,"Didn't get enough Jeff Goldblum last week? Don't worry, he's back! An all new episode of #Explorer starts right now! https://t.co/QkuSqSRScl",14,Explorer,1747550,4972,0.098701299,0.311385281
Tim Mak,17907987,5/16/2017 0:47,"Don't worry, it will be here waiting for the White House once this Russia furor dies down https://t.co/oBJbCQLRoH",20,None,36977,1366,-0.077777778,0.144444444
