username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Molly Hunter,117967849,5/18/2017 17:12,"More: The US official stressed the force that was struck were NOT Assad regime forces, but a pro-regime Shiite militia backed by Iran.",42,None,6783,1922,0.5,0.5
Vinny Guadagnino,95515846,5/19/2017 7:16,Expensive Possessions make you stressed not happier,59,None,3142033,1339,-0.5,0.7
Laurence Tribe,4091551984,5/16/2017 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,127661,1057,0.285714286,0.535714286
Nicole Silverberg,137901653,5/19/2017 4:13,"I'm a nice girl, unless you get on my bad side... then I'm a nice girl who is extremely stressed out about whether or not I still seem nice",5,None,5735,354,0.195,0.933333333
Samantha Maria,24703488,5/10/2017 14:04,I wonder what life is like not feeling 100% stressed out every day https://t.co/KFs0x0m7eJ,248,None,207510,786,0,0
Joan Grande,34359954,5/17/2017 15:26,"Not Acceptable.... @Lawrence .. @MSNBC what are you doing???  I am stressed enough with this presidency, he is the... https://t.co/W01o4WjBkY",20,None,271645,70,0,0.5
Ari Sytner M.Ed LMSW,37844996,5/16/2017 14:21,"You may not feel stressed. But if you are easily angered, frustrated or impatient - you likely are. De-stress by taking time to recenter.",39,None,192565,156360,-0.4125,0.7375
Ben Spielberg,1850333580,5/17/2017 2:56,I really don't think this can be stressed enough: Trump is *a* problem. He is not *the* problem. It is essential that we remember that.,27,None,7287,1745,0.066666667,0.333333333
Susan Calman,20427223,5/15/2017 13:47,"Quite stressed these days.  Too much to do, not enough time.

Current mood. https://t.co/qhOSpEeJdm",18,None,76699,257,0.066666667,0.366666667
