username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
USA TODAY,15754281,5/1/2017 16:25,Americans just broke a record for being stressed. Here's how to reverse the trend https://t.co/sytCgmKgvl,82,None,3317876,918,0,0
James Charles,1117786405,4/27/2017 6:38,me 100% of the time: *is stressed*,840,None,197752,643,0,0
Al Jazeera English,4970411,4/25/2017 7:29,Feeling stressed? You might need to visit one of Russia's 'Rage Rooms'. https://t.co/rfbvUKAFpX,276,None,3867752,223,0,0
Joseph Prince,22000517,4/27/2017 18:07,"Feeling stressed? Instead of focusing on the situation, see the Lord's greater and never-ending supply of grace in your areas of need!",393,None,338360,4,0.625,0.5
99goonsquad,3128003877,4/30/2017 17:09,stop focusing on how stressed you are and remember how blessed you are. Good afternoon goonies!,303,None,214311,9932,0.875,0.6
Miss Mulatto,184970791,5/1/2017 0:10,Too blessed to be stressed ,308,None,75961,876,0,0
Psychology Today,27726303,5/1/2017 19:18,Companion dogs are more highly stressed than we humans realize. https://t.co/lB1Gmislah,17,None,494142,975,0.33,0.52
Dr. Bilal Philips,304808873,4/30/2017 5:00,Worried? Sad? Depressed? Stressed? Let's pray it all away. In sujood we'll find the greatest comfort &amp; feel our sou... https://t.co/aKJ0oefmGm,214,None,387844,7,0.25,1
Shankar Chaudhary,1617123242,4/27/2017 14:18,Joined the @BJP4Gujarat Banaskantha district executive meeting and stressed about the importance of efforts and har... https://t.co/KLpB7vx2me,218,None,43939,154,0,0
Ellen DeGeneres,15846407,4/27/2017 21:23,.@KimKardashian is stressed about @KanyeWest's birthday. https://t.co/s3R6O0zj40 https://t.co/f2gp2JNoHI,199,None,67267012,36132,0,0
Daniel Preda,46764346,4/28/2017 20:15,Realized how happy I felt in a place where service  &amp; social media wasn't within easy reach for me. Already stressed being back in the USA ,177,None,172945,409,0.316666667,0.475
Lindsey Graham,432895323,4/24/2017 16:50,"I stressed the need for UN reform, an end to Israel bashing, and more accountability for UN peacekeeping. (2/4)",24,None,185624,2215,0.5,0.5
chippy,195951022,4/25/2017 2:47,STRESSED OUT FROM BEING REAL IN A FAKE WORLD,32,None,23823,2480,-0.75,1
Krishnan Guru-Murthy,17062358,5/22/2017 11:07,"""nothing has changed! nothing has changed!"" says increasingly stressed looking Theresa May",378,None,449105,3495,0,0
Mama Dragun,412221236,5/21/2017 20:06,"I'm too grateful to be hateful. 
I'm too blessed to be stressed.",892,None,82692,88,0,0
PRINCETON PEREZ,1421475978,5/21/2017 3:29,2 blessed 2 be stressed,563,None,160182,624,0,0
Twitter Moments,3260518932,5/21/2017 15:32,"In his speech to the Muslim world, President Trump stressed the need to fight terrorism and extended US support. https://t.co/xkAfXNVYZU",535,None,407392,11,0,0
ARMAAN MALIK,298917410,5/21/2017 6:05,Look at me not so stressed about it  #auckland #PrinceAM #SKYWALK https://t.co/xeizBfoUjI,463,auckland,226978,1265,0,0
BuzzFeed,5695632,5/22/2017 15:34,"This college student brought her puppy, Bailey, to school to cheer up her stressed classmates https://t.co/vHnkYcqkbJ",170,None,5171927,3118,0,0
Wesley Stromberg,196955859,5/21/2017 22:00,Too blessed to be stressed,207,None,733062,34960,0,0
TIME,14293310,5/22/2017 5:15,This map shows where people are the most stressed in America https://t.co/B7PQ5yrMr6,62,None,13980181,846,0.5,0.5
The Voice,216444984,5/22/2017 1:02,In case you're feeling stressed about the impending work week. #TheVoice https://t.co/dTHU9cf2Gy,49,TheVoice,4980894,9680,0,0
Cameron Boucher,64666168,5/21/2017 1:16,i mean id be hella stressed if i had to log onto my insta via a 2008 blackberry too https://t.co/y6XwtrQyPR,139,None,10969,903,-0.3125,0.6875
TIME,14293310,5/22/2017 11:20,The most stressed-out states in America https://t.co/DoyrR812vF,40,None,13980181,846,0.5,0.5
Psychology Today,27726303,5/21/2017 13:01,Many of our canine companions suffer from separation anxiety and are more stressed out than we realize. https://t.co/lB1Gmislah,39,None,497592,975,0.5,0.5
Chelsea Nachman,133493069,5/21/2017 3:22,"oh, you think you're stressed? i legitimately can't decide if i prefer emma stone as a blonde or a redhead so maybe scan the room next time",63,None,7956,865,0,0
Rain Man,243125110,5/21/2017 7:14,Imagine not being stressed out for a day ,54,None,55746,674,0,0
Rachel Ballinger,468957900,5/20/2017 22:04,"I'll try to live stream at some point today. Sorry, I've been super stressed and busy. Got Blaze back though!!!",70,None,424303,4793,0.013939394,0.493333333
Mac,23065354,5/19/2017 22:36,I just passed my drivers test. Feeling very 16. Stressed out about the SATs.,9829,None,6450613,1215,0.2,0.3
Vogue Magazine,136361303,5/20/2017 22:54,6 ways to sleep when you're stressed: https://t.co/ONJUE3f6XM,31,None,12786135,529,0,0
Joshua Holland,22063600,5/20/2017 17:23,"Gah, can we please show some empathy for these nice, economically-stressed white people? https://t.co/GU320djg1O",93,None,11955,1010,0.3,0.5
Scott Santens,14297863,5/20/2017 16:13,Universal #basicincome eliminates a minimum amount of anxiety for all. A society no longer stressed about survival... https://t.co/FDZ10BmxNI,127,basicincome,57696,61911,0,0
Inc.,16896485,5/20/2017 19:54,Stressed Out? Try This Scary But Effective Tactic to Make Your Workday Easier @peterkozodoy https://t.co/r5JTnX9KpI,20,None,2317618,1695,0.05,0.9
Katya,175180732,5/14/2017 20:09,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,712,MothersDay,256496,737,1,0.3
FutureFemaleLeaders,624849630,5/14/2017 13:45,"Stressed *calls mom*
Happy *calls mom*
Anxious *calls mom*
Sad *calls mom*
Excited *calls mom*
Annoyed *calls mom*

Happy #MothersDay!",596,MothersDay,49700,453,0.170833333,0.925
Laurence Tribe,4091551984,5/16/2017 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,129728,1070,0.285714286,0.535714286
The Notebook,233430873,5/19/2017 3:17,"Care less, and you won't be so stressed.",609,None,5767117,163,-0.166666667,0.066666667
OXTAIL GAWD,20691338,5/13/2017 16:34,ya back teeth are stressed https://t.co/89PXlErU51,752,None,78691,27718,0,0
Monica Alba,71584155,5/18/2017 11:44,"White House officials stressed yesterday that the president had a ""measured"" response to Mueller news. 12 hours lat... https://t.co/TvUVPhNLBy",374,None,22878,2110,0,0
Aseefa B Zardari,130159846,5/18/2017 8:42,CM #Sindh has personally been monitoring #polio situation and stressed the importance of reaching &amp; vaccinating every child to protect them,343,Sindh,1200880,717,0,0.3
