username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Aaron Carter,34716038,2017-04-26 06:50:35,"If you don't believe me ask my brother he was there when I was 19 diagnosed. It's a stress eating disorder, I'm sorry I didn't choose this.",67,None,602101,63487,-0.5,1.0
edutopia,35415477,2017-04-26 12:06:09,3 ways to calm the stress response in students' brains: https://t.co/j29sOU0IPB. https://t.co/8M5GK3h9DW,117,None,916656,69985,0.30000000000000004,0.75
Mpho Maboi,27657422,2017-04-26 15:21:26,There's nothing worse than watching a friend go through stress because of a man that even she knows doesn't deserve her... ,134,None,120584,1021,-0.4,0.6
DHH,14561327,2017-04-26 11:38:01,"""Suicide of an Uber engineer: Widow blames job stress"",  https://t.co/ll4O6T5AV4",51,None,252468,121,0.0,0.0
Her Campus,65576332,2017-04-26 14:01:03,me after last night's @PLLTVSeries ep like i can't handle this stress!!! #PLLEndGame https://t.co/KWXpkKszZy,65,PLLEndGame,40611,2611,0.0,0.06666666666666667
American Heart Assoc,105242077,2017-04-26 14:00:01,Stress is no excuse to skip your workout. Physical activity can help manage stress and sleep better. #HealthyForGood https://t.co/Bqf9pKUq9Y,41,HealthyForGood,228734,5698,0.17500000000000002,0.23095238095238094
NSPCC,38292671,2017-04-26 07:08:04,A new school term can be a trigger of stress for your child. #Childline has advice to help them cope:... https://t.co/e6iNE00G9v,41,Childline,202223,3763,0.13636363636363635,0.45454545454545453
Harvard Biz Review,14800270,2017-04-26 13:19:11,An Early Warning System for Your Team's Stress Level https://t.co/XlCBKfbczG,40,None,4405954,194,0.1,0.3
GoComics,15690708,2017-04-26 16:00:37,.@TheAwkwardYeti's 10 Comics for the Stressed: https://t.co/fJ5ZYAAVQp #webcomics #stressawarenessmonth https://t.co/hxVIYGugn7,157,webcomics,61102,9338,0.0,0.0
Harvard Biz Review,14800270,2017-04-26 08:29:07,Stressed employees hurt the bottom-line -- and interventions that reduce stress benefit it. https://t.co/hA0aJugfs7,54,None,4405954,194,0.0,0.0
Newsweek,2884771,2017-04-26 03:00:22,"Anxiety, stress and depression are at an all-time high among Americans https://t.co/xOxRZouGgU https://t.co/z3gjN7gi1f",54,None,3282460,64,0.16,0.5399999999999999
World Economic Forum,5120691,2017-04-26 00:17:02,10 tips to manage stress https://t.co/M9aSrV9FrD @talentsmarteq https://t.co/Aa4ml2UTnl,59,None,3071208,340,0.0,0.0
Inc.,16896485,2017-04-26 02:13:09,The Smartest Way to Combat Stress (from a TED Speaking Neuroscientist) @browndamon @rab2194 https://t.co/YrKhYvxPEJ,24,None,2286384,1694,0.0,0.0
Science,2782211491,2017-04-25 23:45:50,Ancient stress response provides clues to cancer resistance https://t.co/UL9m3MZ7zZ https://t.co/ZPcqRlVMNT,24,None,140168,62083,0.0,0.0
Real Marsha Wright,61608747,2017-04-26 02:33:03,"Some people create their own storms, then get upset when it rains. -Unknown #stress #truth https://t.co/n1ycsNBd9H",15,stress,542558,391519,0.25,0.8
