username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Cleveland Clinic,24236494,2017-05-24 16:08:08,Job-related #stress can kill your motivation &amp; negatively affect your feelings about life. Here's how to fight it:... https://t.co/cE9Y7ijrJF,35,stress,982066,994,-0.3,0.4
Real Marsha Wright,61608747,2017-05-23 15:22:00,"Some people create their own storms, then get upset when it rains. -Unknown #stress #truth https://t.co/n1ycsNBd9H",17,stress,558779,429197,0.25,0.8
Real Marsha Wright,61608747,2017-05-24 04:52:02,"#Depression doesn't mean they're weak!
- 
#stress #mentalhealth #anxiety #suicide #ptsd #mindfulness https://t.co/in1tr5Uoc0",23,Depression,558779,429197,-0.390625,0.65625
Real Marsha Wright,61608747,2017-05-24 05:08:02,"The truth about #depression...

#Stress #entrepreneur #business #CEO
#mentalhealth #anxiety https://t.co/OPCtzBtv3X",27,depression,558779,429197,0.0,0.0
Lolly Daskal,16248319,2017-05-24 10:15:13,13 of The Best Apps To Manage Stress   by @LollyDaskal https://t.co/O5Vz4aOXk5 #Leadership #Stress #Business #HR,8,Leadership,1286235,1203322,1.0,0.3
Isha Foundation,19190337,2017-05-22 07:00:50,"#Stress, @SadhguruJV says, happens due to inability to manage our inner situation, not from surroundings. https://t.co/sj0Te8e1kg",94,Stress,110237,7,-0.0625,0.2708333333333333
John Assaraf,31251832,2017-05-18 18:05:28,"Once each hour, #visualize for 1 min the goal you want to reach in the next hour. You'll experience greater #productivity with less #stress.",25,visualize,111826,27188,0.11111111111111112,0.18888888888888888
Ari Sytner M.Ed LMSW,37844996,2017-05-19 21:00:37,"When #stress levels are high, lower them by embracing #hope &amp;   knowing things will be better tomorrow. #life #faith",32,stress,197694,156579,0.33,0.52
Cleveland Clinic,24236494,2017-05-18 02:10:00,Job-related #stress can kill your motivation &amp; negatively affect your feelings about life. Here's how to fight it:... https://t.co/bXmwDCX3Wm,109,stress,982066,994,-0.3,0.4
Real Marsha Wright,61608747,2017-05-17 12:26:03,"Some people create their own storms, then get upset when it rains. -Unknown #stress #truth https://t.co/n1ycsNBd9H",29,stress,558779,429197,0.25,0.8
Real Marsha Wright,61608747,2017-05-18 03:17:02,"#Depression doesn't mean they're weak!
- 
#stress #mentalhealth #anxiety #suicide #ptsd #mindfulness https://t.co/yGbj6cHskI",27,Depression,558779,429197,-0.390625,0.65625
Real Marsha Wright,61608747,2017-05-18 03:27:03,"The truth about #depression...

#Stress #entrepreneur #business #CEO
#mentalhealth #anxiety https://t.co/EHqmYKXAeT",16,depression,558779,429197,0.0,0.0
