created,text,retwc,hashtag,followers,friends
2017-05-02 17:58:59,b'When in doubt... #music #meditation #selfhelp #relaxation #breathing #selfcare #worry #stress #anxiety #depression\xe2\x80\xa6\xe2\x80\xa6 https://t.co/lAQ2BdQSYH',0,music,58,193
2017-05-02 17:58:59,b'if they nasty and cause u stress than i say block them https://t.co/YrvrxE1oKH',0,None,171,105
2017-05-02 17:58:59,b'RT @cotton_brooke: Ever get so stressed you stress about being stressed cause same',2,None,318,207
2017-05-02 17:58:58,"b""RT @AiStabbin: Why stress someone who ain't stressin you""",13,None,306,254
2017-05-02 17:58:55,b'RT @elisabracelandd: Cannot stress how IMPORTANT it is to tell people you love them while you  still can',131,None,137,198
2017-05-02 17:58:55,"b""Sona isn't doing all this for Ishwari but for Dev. She knows this bothers him a lot &amp; she just want him to be stress free. #KRPKAB""",1,KRPKAB,288,53
2017-05-02 17:58:54,"b'Come to the Counselling Centre to learn about coping with stress: colouring, beading, silly putty and more!\xe2\x80\xa6 https://t.co/gcP4nVmHBK'",0,None,70,62
2017-05-02 17:58:50,b'RT @fifteendesign: Check out our #mentalhealth work with @TherapyDerby and combat your workplace #stress today #CharityTuesday https://t.co\xe2\x80\xa6',0,mentalhealth,39,237
2017-05-02 17:58:50,"b""Do you ever stress so much that you feel like you're gonna throw up? \n\nCause same.""",0,None,259,265
2017-05-02 17:58:49,b'RT @UrFavritAsshole: CAPRICORN: U THINK TOO MUCH ABOUT BULLSHIT &amp; STRESS OVER IT FOR NOTHING. IF ITS NOT EFFECTING YOUR HEALTH OR MONEY DON\xe2\x80\xa6',57,None,127,86
2017-05-02 17:58:49,"b'RT @IntThings: Remember, most of your stress comes from the way you respond, not the way life is. Adjust your attitude, and all that extra\xe2\x80\xa6'",1042,None,205,531
2017-05-02 17:58:47,b'My stress level right now \xf0\x9f\x98\x85\xf0\x9f\x98\x85\xf0\x9f\x98\x85',0,None,389,292
2017-05-02 17:58:47,"b'She said she doesn\'t stress at work or about ""success"" she shows up, does her job and lives her life. The secret to being this beautiful...'",0,None,57,274
2017-05-02 17:58:45,"b""RT @byekhanyi: don't stress us please https://t.co/Gjm1I4kHV1""",340,None,1202,930
2017-05-02 17:58:43,"b'I miss being a little kid with no stress, worries, or care in the world.'",0,None,173238,167551
2017-05-02 17:58:41,"b""RT @byekhanyi: don't stress us please https://t.co/Gjm1I4kHV1""",340,None,400,196
2017-05-02 17:58:41,"b""@myungiekitty IT'S CUTE BOTH ENDS BUT I WOULD HAVE CRIED FROM THE STRESS. she's so brave to confess publically like that tho omg""",0,None,95,209
2017-05-02 17:58:39,"b'Grateful there is only 7 more days of finals, papers, and stress in my undergraduate career \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'",0,None,168,241
2017-05-02 17:58:39,b'RT @stacysays: SAVANNA STRESS - MYSTIC MESA MODDED MINECRAFT: https://t.co/PyI3Xqw5RK via @YouTube',16,None,894,456
2017-05-02 17:58:38,"b""RT @NotebookMsgs: self reminder: you're still young and you're not supposed to have your whole life figured out yet. don't stress. everythi\xe2\x80\xa6""",218,None,289,737
2017-05-02 17:58:38,"b'RT @DickHumbler: Be thankful for little things. Growth, clean water, food, warm bed. Right now someone is praying for the life you complain\xe2\x80\xa6'",877,None,319,297
2017-05-02 17:58:38,"b""lol, I don't even have a mans but I know this stress is mad real https://t.co/opNw1pUPiy""",0,None,455,286
2017-05-02 17:58:36,"b'RT @UrFavritAsshole: LIBRA: DONT LET ANYTHING STRESS U OUT, U HAVE ENOUGH TO DEAL WITH RIGHT NOW. HANDLE WHAT U CAN AND LEAVE DA REST IN GO\xe2\x80\xa6'",101,None,494,353
2017-05-02 17:58:36,"b'I miss being a little kid with no stress, worries, or care in the world.'",0,None,201168,194674
2017-05-02 17:58:36,"b'RT @itsnotJesusXO: I do not possess the mental capability to deal with this amount of stupidity, irresponsibility, and stress.'",11,None,1185,137
2017-05-02 17:58:35,"b""RT @byekhanyi: don't stress us please https://t.co/Gjm1I4kHV1""",340,None,1794,1891
2017-05-02 17:58:35,"b'RT @DickHumbler: Be thankful for little things. Growth, clean water, food, warm bed. Right now someone is praying for the life you complain\xe2\x80\xa6'",877,None,428,286
2017-05-02 17:58:35,b'@burnthe_witch I had a stress fracture in my lower leg (aka my shin).',0,None,2461,292
2017-05-02 17:58:34,b'RT @elisabracelandd: Cannot stress how IMPORTANT it is to tell people you love them while you  still can',131,None,803,530
2017-05-02 17:58:33,"b""We should stress less that autism is increasing. We should be celebrating that we're accepting autism into our society. #TPIDisAbility""",0,TPIDisAbility,30,93
2017-05-02 17:58:32,b'RT @wuutalyssa: cant stress how important reassurance is https://t.co/VvqpazmXey',15801,None,1007,358
