created,text,retwc,hashtag,followers,friends
5/5/2017 1:49,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,53,1345
5/5/2017 1:49,b'RT @3xM_Home: You spend a lot of time in your #home. Create a space that will help #relax and rejuvenate!\n\nhttps://t.co/ZoYPM2FEPn\n\n#Interi\xe2\x80\xa6',69,home,58,213
5/5/2017 1:49,"b""RT @ChrisTheHuman_: It's crazy how much people stress over GPA in college only for it not to matter after you get into grad school or get y\xe2\x80\xa6""",33,None,39,93
5/5/2017 1:49,"b""RT @dianelisordonez: when In stress just go to target and buy shit you don't even need""",3,None,645,478
5/5/2017 1:49,b'RT @Juice2smooth: If you adding any stress to my life at this point you gotta go no matter who you are',195,None,1169,349
5/5/2017 1:49,b'RT @dorinaseli92: How to manage stress: exercise \n\nAlmost every night I have dance practise... masih juak stress tu \xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,None,572,443
5/5/2017 1:49,"b'RT @TFA_Academy: Life stress or training stress the body makes hormonal adaptations. During academic finals, lots of life stress. Back down\xe2\x80\xa6'",41,None,174,121
5/5/2017 1:49,b'RT @Cassie_Lovette: Stress over a nigga this summer? I think the fuck not.',65,None,172,148
5/5/2017 1:49,b'Can u believe Harry Styles invented stress',286,None,16738,7722
5/5/2017 1:49,b'@politicsofamy Post Dramatic Stress Syndrome',0,None,447,434
5/5/2017 1:49,"b'RT @Brentconner_: """"Parents,\nproblems,\nfriends,\nfakes,\nlove,\ncrush,\ndating,\nresponsibility,\ndrama,\nheartache,\nfailures,\nstress,\nhappiness,\xe2\x80\xa6'",52,None,69,155
5/5/2017 1:49,"b""RT @_vicdagoat: I'm stressed that I don't have anything to stress about since the semester over lol""",8,None,861,328
5/5/2017 1:49,b'RT @KShaw81: Never stress on timing . God works in mysterious ways',130,None,443,259
